highway_type,lanes,maxspeed_kmph,temperature,humidity,visibility,wind_speed,hour_of_day,is_weekend,safety_level
service,4,44,31.599697090570253,67.89267873576293,1644.5845403801216,3.8998630084050663,10,0,safe
tertiary,3,53,27.544423647442642,24.51292632216802,7247.787845441565,23.463817725393753,1,0,risk
tertiary,3,87,21.237821581611893,54.55560149136926,2983.168487960615,15.296322368059487,9,0,risk
secondary,2,91,-0.4696782733589604,69.47088074664698,3886.373713544911,24.580772145169703,2,1,high_risk
service,2,68,-4.336751942006673,95.37614045478821,5676.553356670839,9.635412563497903,20,0,risk
secondary,3,100,25.499832889131046,86.65559293889315,1816.3100697269435,9.77651518933102,17,0,risk
trunk,3,83,22.335513967163983,34.788356442042165,9698.88781486913,19.378320584027865,1,0,risk
secondary,3,77,11.32703844029177,65.63551795243195,5256.259174255654,24.029300608733728,20,0,safe
trunk,3,53,12.837666334679465,42.47476077499046,5472.69122326666,3.523105624369066,14,0,safe
motorway,6,117,14.744075908778484,43.47905397744305,239.3902448793361,4.971060102220129,7,1,high_risk
motorway,3,70,40.74798377718904,88.00308622318394,4549.561673968214,2.385252912260283,22,0,risk
unclassified,4,73,26.877873567760656,90.97701940610612,4774.927759103298,2.9898561484575428,13,1,safe
tertiary,3,43,19.689779818219538,61.818626350559526,4332.656081749641,0.6354781686023797,12,0,safe
unclassified,3,81,23.163778598819185,75.6412869140902,1479.3813986181692,15.11043448194543,14,1,risk
secondary,5,100,9.4875726456884,32.897702980320354,9304.006758191474,20.203009489110425,20,1,risk
secondary,2,113,39.627949924498886,63.147379353252056,8093.657536124219,22.40228249808733,6,1,risk
motorway,2,91,-4.973981150234209,48.20550850673352,3117.3344557644873,4.116396328573543,8,0,risk
motorway,1,73,7.206276112388709,33.46328337383444,2265.7657737733953,13.95255005043353,19,0,risk
motorway,2,41,7.589114791268209,59.77988047139084,3078.6952671860195,7.1210123594366905,16,0,safe
trunk,3,83,-3.3474633549725805,47.60569984213464,6380.078312543502,17.01763628886917,20,0,risk
unclassified,3,97,-0.9573336833642374,49.572356484912355,2497.3833889465163,20.078493909497396,4,0,high_risk
residential,2,45,36.7651247794619,45.66240519773886,1946.533252958557,1.019378538869098,19,0,safe
secondary,1,96,35.47505230698577,47.89327898333835,1052.1478558050655,23.5130816122401,7,0,risk
trunk,4,40,12.053317552512926,29.077881699247126,9254.466820957772,21.933483834524527,2,0,risk
unclassified,4,89,8.04145874152045,99.70029598063394,9657.651577759058,13.95733634017744,22,0,safe
primary,4,109,39.85551299762886,90.96691394120938,7820.767903990476,16.050791153857194,10,1,high_risk
secondary,5,113,24.034331071822734,49.78262132493945,9407.321080332007,24.341595918882934,17,0,risk
trunk,3,64,27.598062975130027,37.941544756844785,7150.574291340605,5.931227187420002,20,0,safe
unclassified,3,36,31.046996212606466,44.64486334819114,5471.148282493503,12.720351920969,21,0,safe
residential,3,80,39.602327758855665,70.49109007978103,7968.63190506232,12.565927327629803,14,0,risk
tertiary,2,77,9.03861812204279,21.945277314516307,6490.175729480961,4.427766985176223,13,1,safe
primary,4,66,41.415928129386266,54.254731865385146,9669.882708532328,24.09049942723132,0,0,risk
tertiary,2,116,8.42374284450784,58.822389942105254,3789.599984231088,9.867286670236805,21,0,safe
